Ano,Energia,Industria,Agropecuaria,Uso_da_terra,Residuos,Total
1990,192810,56921,329613,907513,26194,1513050
1991,196376,61998,338738,725880,27788,1350780
1992,201530,60243,343988,838587,28697,1473045
1993,206003,63208,349262,875358,30827,1524658
1994,214844,63215,356891,852933,32426,1520309
1995,230983,68016,359471,1966234,34257,2658961
1996,248211,67390,338817,1243209,35969,1933597
1997,264336,70452,346371,910238,37158,1628555
1998,271850,75024,352108,1169334,38487,1906803
1999,281510,74377,356624,1123254,40406,1876171
2000,288155,78418,370335,1174452,42578,1953939
2001,296284,74913,384276,1119687,45129,1920290
2002,294964,79568,395420,1328443,46731,2145126
2003,287747,80372,422506,2410838,48582,3250045
2004,303661,84361,439101,2604350,49523,3480997
2005,313395,84020,438197,1563262,51475,2450350
2006,318098,84674,438427,1195766,53306,2090271
2007,331373,88748,429053,845416,53477,1748066
2008,350867,87050,436990,954649,54496,1884052
2009,338929,77207,442011,317652,56081,1231881
2010,373557,87101,458343,252164,57024,1228189
2011,387916,93877,463081,328590,57495,1330959
2012,420906,95207,462078,178554,57904,1214650
2013,452351,96795,467437,387359,61560,1465501
2014,478881,94491,472846,246064,61907,1354190
2015,454439,95421,476279,372693,62802,1461633
2016,424732,93701,487170,404497,63292,1473392
2017,429503,98161,464502,306444,64425,1363034
2018,406793,96575,464178,334502,66661,1368710
2019,408343,101463,468371,556818,67467,1602461
2020,389484,101936,477671,637039,69630,1675759
